Title,Authors,Abstract,Published In,Date of Conference,Date Added to IEEE Xplore,Conference Location,Document URL
Vehicle Control by Using Brain Signals Driving System for Disabled People,"['Adam Mourad', 'Veronika Wissa', 'Hisham El Sherif']","Car safety features have moved well beyond old standards, rapid advances have been made to automotive technologies, especially with respect to electronic sensing and control systems. This paper introduces a new feature that was implemented on an electric vehicle by using the EMOTIV EPOC sensing device which provides access to professional grade brain data; such an application captures the driver's brain signals. Machine learning was the main core of the research such that the implementation of some output parameters was very useful to control the car acceleration and steering. Different driver interactions were experimentally tested such as clenching the jaw and head movements. Other external factors like outliers that influence the brainwave signals were eliminated. The experimental outcome showed reliable results, which could be very useful for future implementations to help handicapped drivers.",2020 6th International Conference on Mechatronics and Robotics Engineering (ICMRE),12-15 February 2020,16 April 2020,"Barcelona, Spain",https://ieeexplore.ieee.org/document/9064969/
Predicting Depression from Social Networking Data using Machine Learning Techniques,"['Nandini Bagga', 'Pratikshit Vashistha', 'Palak Yadav']","In this era of COVID-19 pandemic, as more people self-isolate themselves, psychological health issues like depression, anxiety, and stress is an increasing concern all over the world. The purpose of this study is to investigate the data from social forums, where we found communities of depressed people sharing their thoughts and emotions in the forums, these forums also receive advices and support. In this paper, we will analyse the ""depressed"" text; by manipulating the data, extracting features, categorising, and try to understand what are the attributes of ""depressed"" text, and how we can ""predict"" whether a text should be marked as depressed or not. Using text analysis and text data mining techniques, the text obtained from the social forums was analysed and three different machine learning algorithms were used to predict depression. After cross validation overall accuracy of 99.69% was obtained as the best score using the proposed system. This study definitively answers the question regarding using human basic language and communication of personal experiences, for the prediction of depression and can be reached easily. Furthermore, not only actions, habits and behaviour of a person, text too can be used for accurate diagnosis of depression.","2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",17-18 December 2021,09 March 2022,"Greater Noida, India",https://ieeexplore.ieee.org/document/9725402/
Predicting Depression from Social Networking Data using Machine Learning Techniques,"['Nandini Bagga', 'Pratikshit Vashistha', 'Palak Yadav']","In this era of COVID-19 pandemic, as more people self-isolate themselves, psychological health issues like depression, anxiety, and stress is an increasing concern all over the world. The purpose of this study is to investigate the data from social forums, where we found communities of depressed people sharing their thoughts and emotions in the forums, these forums also receive advices and support. In this paper, we will analyse the ""depressed"" text; by manipulating the data, extracting features, categorising, and try to understand what are the attributes of ""depressed"" text, and how we can ""predict"" whether a text should be marked as depressed or not. Using text analysis and text data mining techniques, the text obtained from the social forums was analysed and three different machine learning algorithms were used to predict depression. After cross validation overall accuracy of 99.69% was obtained as the best score using the proposed system. This study definitively answers the question regarding using human basic language and communication of personal experiences, for the prediction of depression and can be reached easily. Furthermore, not only actions, habits and behaviour of a person, text too can be used for accurate diagnosis of depression.","2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",17-18 December 2021,09 March 2022,"Greater Noida, India",https://ieeexplore.ieee.org/document/9725421/
Building an AI That Feels: AI systems with emotional intelligence could learn faster and be more helpful,[],"In the past year, have you found yourself under stress? Have you ever wished for help coping? Imagine if, throughout the pandemic, you'd had a virtual therapist powered by an artificial intelligence (AI) system, an entity that empathized with you and gradually got to know your moods and behaviors. Therapy is just one area where we think an AI system that can recognize and interpret emotions could offer great benefits to people.","IEEE Spectrum ( Volume: 58, Issue: 5, May 2021)",Not Available,Not Available,Not Available,https://ieeexplore.ieee.org/document/9423818/
AWAF: AI Enabled Web Contents Authoring Framework,"['Ravi Nanjundappa', 'Gajendra N', 'Lakshya', 'Siba Prasad Samal', 'Mahesha N', 'Aakash Pahuja', 'Venu Madhav Musham', 'Eun NamGung']","Artificial intelligence (AI) in web development is a new sector that a lot of people are into recently. AI continues to evolve and grow, and plays an increasingly important role in the web app development space [1]. When it comes to developing innovative and more sophisticated web applications, the involved technologies continue to play a bigger role. With the involvement of the internet into our daily lives, particularly businesses are enjoying the aspects of AI. Precisely, companies use AI in proper marketing of their products and enhancing their brand visibility by building their websites and web applications [2]. AI or Machine Learning (ML) models are able to help web app developers to solve problems related to security, user experience, content analysis, quality assurance and much more. This presents the need for a framework or tool that can allow third party developers to seamlessly build an AI based app. In this paper, we present an AI Enabled Web Contents Authoring Framework (AWAF), where AI models can be simply dragged into workspace, provide options to build, train Deep learning models using a simple web visual interface, and ultimately ship the AI features into the web application. Also, we provide an option to connect together smart blocks called AI Nodes, to create our custom deep learning models. These AI Nodes are designed flexible enough to reap the advantages of portability and reusability. And, laterally, we also focus on assigning or distributing the computational AI Nodes to capable IOT-edge devices like high-end TV etc. to leverage their hardware capabilities in order to increase the overall responsiveness of the AI application on low-end devices [3].",2020 IEEE 17th India Council International Conference (INDICON),10-13 December 2020,05 February 2021,"New Delhi, India",https://ieeexplore.ieee.org/document/9342385/
Real time Robust Invisible Hyperlinks in Physical Photographs Based on Embodied AI Platform,"['Kang Chen', 'Fuwang Yi', 'Jun Jia', 'Guangtao Zhai']","Quick Response (QR) Code plays an important role in connecting the physical world where we live in and the digital world that contains information. However, the pictures made up of black and white color blocks really affect people's moods. This paper designs a visual appealing two-dimensional code to help people access information from offline to online. A Deep Neural Network (DNN) based encoder hides information into natural images and a DNN based decoder recovers it. A novel finder pattern is designed to help the decoding device to locate our codes quickly. We design a decoding device. It consists of an AI chip, camera, and LCD screen. The information is invisible in our generated hidden images but detectable by our device. With the help of powerful edge computing, the device can recover the hidden information from the pictures in real time.",2020 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),06-08 August 2020,25 August 2020,"Shenzhen, China",https://ieeexplore.ieee.org/document/9175496/
A conceptual framework for AI system development and sustainable social equality,['Lucien Yen-Hao Chen'],"Artificial intelligence (AI) technology has been used for some years and is growing rapidly. We are living in a world where AI has been involved in many different ways; from helping us to perform online search, shopping on the internet, customer service over internet, medical research, advices over banking activities, advices for legal matters, or to determine different stages of our life, even since when a baby is born. AI has also been significantly having a strong impact on the way we conduct business; for example, customer analysis, product research, trend analysis, making price policy, and recruiting process. However, awareness levels among end-users is still low. Authorities and industries are still looking for possibilities to regulate, optimise and harmonise negative issues that have been raised. In addition to just following general policies, developers and companies also need to take ethical issues into consideration in order to build trustworthy AI powered systems. This paper is aiming to design a conceptual framework by seeking possibilities in/among known debates, issues, theories, policies, dilemmas, and with personal view, instead of finding general solutions. The opinion of this paper does not necessarily reflect the views of the organisation.",2020 IEEE / ITU International Conference on Artificial Intelligence for Good (AI4G),21-25 September 2020,12 January 2021,"Geneva, Switzerland",https://ieeexplore.ieee.org/document/9310984/
COVID-19 Multi-Modal Data Analysis with Alexa Voice and Conversational AI Applications : Voice First System Tracking Novel Coronavirus,['Alex Kaplunovich'],"Novel Coronavirus (COVID-19) has changed the life of the planet. It is extremely important to monitor the situation in real time. Our secure methodology can help people to trace the situation in their country or state without touching a single computer key, just using voice-first computing devices. We have been using the data from multiple sources, created a suite of Alexa skills (Voice-first applications) and observed how the data evolves. The coronavirus data is downloaded automatically to the AWS Cloud and stored securely in the No-SQL DynamoDB database and S3 buckets to help users to monitor up-to-date statistics. Moreover, Alexa Echo devices with screens will display comprehensive graphs containing the most vital numbers – new cases, new deaths, mortality rate and hospitalizations since the pandemic started. Our system is safe, secure, automatic and resilient. It helps users to maintain social distancing and obtain up-to-date information about coronavirus in the location of interest without a single touch, just by using voice. During our journey we have designed and implemented many convenient commands, improving usability and multi-modal user experience. Our innovative approach, serverless architecture and Big Data methodology can help millions of people to stay on top of the coronavirus situation and make day-to-day choices using the information provided. It can also help officials to make educated decisions about opening certain businesses, institutions or activities. Since more and more voice assistants (AI devices) appear in public places – hotels, restaurants, and airports, our approach will help people to stay informed everywhere. Using our touch-free Alexa analytical skills will also promote social distancing.",2021 IEEE International Conference on Big Data (Big Data),15-18 December 2021,13 January 2022,"Orlando, FL, USA",https://ieeexplore.ieee.org/document/9671891/
Garbage Classification System Based on AI and IoT,"['Ding Zhaojie', 'Zhu Chenjie', 'Wang Jiajie', 'Qiu Yifan', 'Cen Gang']","In view of some problems in the process of garbage classification, the research group based on deep learning and other technologies proposed the design idea of the garbage classification system. The system helps users to quickly query garbage classification information in a variety of ways, so as encouraging people to consciously classify household garbage accurately. It aims to enhance people's awareness of environmental protection, popularize people's knowledge of garbage classification, and promote the sustainable development of green society.",2020 15th International Conference on Computer Science & Education (ICCSE),18-22 August 2020,22 September 2020,"Delft, Netherlands",https://ieeexplore.ieee.org/document/9201690/
Orderista - AI-based Food Ordering Application,"['Tejas Raibagi', 'Ashwin Vishwakarma', 'Jahnavi Naik', 'Rujata Chaudhari', 'Geetanjali Kalme']","In today's world, with people hustling for their jobs all the time, a huge count of people don't have the time to actually prepare their lunch and here canteen plays a major role. But then again people are in a rush and don't have much time to spend in the canteen as well to place an order or wait until their order is ready. This project is based on an AI-based cross-platform application that focuses on automating all the major canteen functionalities. It enables the user to register online, browse and choose from an E-menu card followed by placing the order and receiving confirmation after successful payment. With the help of this app, students and faculties can order food beforehand and can receive it during the break to ensure that the time spent in ordering and collecting the order is as low as possible. The app also docks in AI, which will help the users to get personal recommendations and food items which are popular amongst others. The objective is to reduce the manual paperwork as the app digitalizes every factor and provides a graphical representation of daily sales and allows comparison for weekly, monthly and annual sales. The feedback system allows the admin to monitor the app and make changes based on the user feedback.",2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),25-27 March 2021,12 April 2021,"Coimbatore, India",https://ieeexplore.ieee.org/document/9396040/
Smart health monitoring using AI techniques in AAL environments,"['Alexandros Spournias', 'Panagiotis Bountas', 'Evanthia Faliagka', 'Dimitris Kontargiris', 'Christos Antonopoulos', 'Georgios Keramidas', 'Nikolaos S. Voros']","The shortage in health care professionals is expected to create demands for Ambient Assisted Living (AAL) technology that helps to prolong independent living of individuals facing various challenges (e.g., the elderly, people with various disabilities, etc.). It will allow health care professionals to remotely monitor and support these individuals more efficiently. Our proposal is to leverage Ambient Intelligence in AAL environments, by exploiting all the recent advances in AI/ML.",2021 10th Mediterranean Conference on Embedded Computing (MECO),07-10 June 2021,01 July 2021,"Budva, Montenegro",https://ieeexplore.ieee.org/document/9460154/
Design of a Chatbot for People Under Distress using Transformer Model,"['Sushruth P Konapur', 'Tejas Krishna', 'Varun G', 'Uma R', 'Sarojadevi H']","As indicated by the WHO, the variety of mental issues incorporates dementia, discouragement, schizophrenia and other psychoses, intellectual disabilities and developmental disorders. Sadness alone influences in excess of 300 million individuals. Indeed, even with admittance to proficient medical care and social administrations, those tormented with emotional well-being conditions wonder whether or not to profit from the therapy because of the stigma encompassing the disease. Accordingly, to this we would like to build an artificial intelligent agent that responds and helps the patient using an interactive chat bot. With the recent changes in Deep learning technology and specifically in NLP with models such as BERT and Open-AI GPT getting efficient contextual responses is not a task too hard. The chatbot will be able to identify, address and help relieve the mental stress of the user through soothing message responses similar to a therapist’s conversation. Also, other relaxation techniques are provided on the same platform for further support to the distressed user.",2021 2nd Global Conference for Advancement in Technology (GCAT),01-03 October 2021,09 November 2021,"Bangalore, India",https://ieeexplore.ieee.org/document/9587796/
AI-Based Navigator for hassle-free navigation for visually impaired,"['Nihal Bhandary', 'Kaif Siddique', 'Anish Adnani', 'Sharmila Sengupta', 'Supriya Patil']","There are about 285 million visually impaired people in the world. Though they manage to do their daily chores, with support but face many difficulties. The proposed solution provides indoor and outdoor assistance to the visually impaired. Conventionally they generally use a cane for proper and hassle-free navigation. The system would aid them with a routine task like walking, aid while writing, going up and down the stairs, searching for common objects like keys, brushes, chairs, etc. Voice-based aid would be provided to them through speakers and sensors. The ultrasonic sensor helps in recognizing objects within the vicinity which might not be captured by the cameras and produce an alerting sound for the user to avoid any sudden bump. This system will be comparatively economical and accessible.",2021 International Conference on Computer Communication and Informatics (ICCCI),27-29 January 2021,21 June 2021,"Coimbatore, India",https://ieeexplore.ieee.org/document/9457013/
Design of Railway Accident Analysis System Based on Artificial Intelligence,['Zhihan Wang'],"Since railway traffic has come into people's life, it has been acting as a very important role in people's daily living. The major content of this research is to build a railway accident analysis system based on Artificial Intelligence (aliased as AI) and blockchain technology, which have the function of railway accident reproduction and traffic data analysis, taking the train crash happened on June 29, 2009 in Chenzhou for case study. This research reproduces the environment scenes simulating the accident happened in Chenzhou with the help of MSTS, including the longitude, the latitude, the landform, the buildings, the platforms, the traffic and the track installment of that time, and represents the real situation taking a driver's field of view. Besides, the research also builds a railway traffic data collecting and analyzing system based on C#, with the help of Cheat Engine, Microsoft Access and Visual Studio 2010. The system can automatically track and analyze the traffic data from Microsoft Train Simulator. This reproduction procedure is with great significance for analyzing the real accident in an Artificial Intelligence way, as well as providing a broad prospect for the practical application of blockchain technology.",2020 3rd International Conference on Smart BlockChain (SmartBlock),23-25 October 2020,07 May 2021,"Zhengzhou, China",https://ieeexplore.ieee.org/document/9415652/
StylePeople: A Generative Model of Fullbody Human Avatars,"['Artur Grigorev', 'Karim Iskakov', 'Anastasia Ianina', 'Renat Bashirov', 'Ilya Zakharkin', 'Alexander Vakhitov', 'Victor Lempitsky']","We propose a new type of full-body human avatars, which combines parametric mesh-based body model with a neural texture. We show that with the help of neural textures, such avatars can successfully model clothing and hair, which usually poses a problem for mesh-based approaches. We also show how these avatars can be created from multiple frames of a video using backpropagation. We then propose a generative model for such avatars that can be trained from datasets of images and videos of people. The generative model allows us to sample random avatars as well as to create dressed avatars of people from one or few images. The code for the project is available at saic-violet.github.io/style-people.",2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),20-25 June 2021,02 November 2021,"Nashville, TN, USA",https://ieeexplore.ieee.org/document/9578099/
ACKNOWLEDGMENTS,['Mark Coeckelbergh'],"Chapter This book not only draws on my own work on this topic but reflects the knowledge and experience of the entire field of AI ethics. It would be impossible to list all the people I have discussed with and learned from over the past years, but the relevant and fast-growing communities I know include AI researchers such as Joanna Bryson and Luc Steels, fellow philosophers of technology such as Shannon Vallor and Luciano Floridi, academics working on responsible innovation in the Netherlands and the UK such as Bernd Stahl at De Montfort University, people I met in Vienna such as Robert Trappl, Sarah Spiekermann, and Wolfgang (Bill) Price, and my fellow members of the policy-oriented advisory bodies High-Level Expert Group on AI (European Commission) and Austrian Council on Robotics and Artificial Intelligence, for example Raja Chatila, Virginia Dig-num, Jeroen van den Hoven, Sabine Koszegi, and Matthias Scheutz—to name just a few. I would also like to warmly thank Zachary Storms for helping with proofreading and formatting, and Lena Starkl and Isabel Walter for support with literature search.",Not Available,Not Available,Not Available,Not Available,https://ieeexplore.ieee.org/document/9056688/
Real-Time Prediction of Intradialytic Hypotension via GRU and Explainable AI,"['Yu-Cheng Chen', 'Wei-Chung Wang', 'Che-Wen Chen', 'Hsiang-Wei Hu', 'Jhing-Fa Wang']","Kidney disease is a common civilized illness for humans. The population of kidney dialysis in Taiwan exceeded 85,000 in 2017 and continued to increase by 6% per year. Intradialytic hypotension is the one of most common complication. Therefore, we hope to predict the occurrence of hypotension in the next 30 minutes as a target. However, there are too many factors that may cause hypotension, which makes it much more difficult to predict. Blood pressure and physical data are both time-dependent features. Therefore, The gated recurrent unit (GRU) network is used to predict the time series effectively. And Local Interpretable Model-Agnostic Explanation (LIME) XAI is used to interpret the prediction results to help people understand the causes of low blood pressure. The model prediction results have good performance in both binary classification and regression. This can lead to a safer and easier hemodialysis treatment for patients.",2021 9th International Conference on Orange Technology (ICOT),16-17 December 2021,21 January 2022,"Tainan, Taiwan",https://ieeexplore.ieee.org/document/9680607/
